id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	weight<Citations>	weight<Norm. citations>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
24	"ersoy, r."	0.9841	-0.2794	1	12	36	6	53	8.7754	2014.6667	8.8333	1.4626
25	"eshleman, james"	-0.327	0.4456	2	8	8	1	0	0	2015	0	0
26	"esposito, ı"	-0.1957	0.481	2	14	31	3	22	1.5856	2016	7.3333	0.5285
27	"evans, douglas"	-0.5308	-0.5579	4	9	14	2	0	0	2018	0	0
28	"everett, r."	-0.2902	-0.2608	7	24	59	5	54	8.2843	2014.8	10.8	1.6569
29	"farris, a. b."	-0.3449	-0.561	7	23	51	4	2	0.3636	2013.5	0.5	0.0909
30	"fisher, k."	-0.7915	0.3917	3	24	40	4	22	4.3564	2015.75	5.5	1.0891
31	"fisher, s. b."	-1.047	-0.3971	6	10	19	2	6	0.3569	2014.5	3	0.1784
32	"frankel, wl"	-0.4036	0.6108	2	7	7	1	127	7.5539	2015	127	7.5539
33	"furukawa, toru"	-0.0535	0.6344	2	6	6	1	3	1.2	2017	3	1.2
34	"gal, aa"	-0.9432	0.3244	3	7	7	1	22	4.3564	2016	22	4.3564
35	"goodman, m."	-0.1469	-0.1956	5	33	252	21	206	21.3086	2014.619	9.8095	1.0147
36	"guler, g."	1.0171	-0.038	1	27	127	26	211	25.3206	2013.6154	8.1154	0.9739
37	"guney, g."	0.9233	-0.3394	1	8	12	2	40	7.1044	2013.5	20	3.5522
38	"himmetoglu, c"	1.0801	0.2772	1	7	8	2	36	2.8581	2009.5	18	1.4291
39	"hong, sm"	-0.0361	0.4163	2	25	60	5	25	2.7856	2015.2	5	0.5571
40	"hruban, rh"	-0.4233	0.4804	2	30	72	7	159	11.1197	2015.1429	22.7143	1.5885
41	"huebner, k"	0.9712	0.3042	1	9	27	5	143	13.3815	2013.2	28.6	2.6763
42	"jang, k-t"	-0.422	0.1989	2	41	229	20	344	24.1544	2014.05	17.2	1.2077
43	"khosroshahi, a."	-0.4212	-0.6749	7	8	8	1	0	0	2014	0	0
44	"kilicarslan, a"	1.2222	-0.2456	1	10	39	9	4	6.5941	2014.6667	0.4444	0.7327
45	"kim, grace"	-0.5916	-0.4004	4	27	176	16	5	1.5281	2012.625	0.3125	0.0955
46	"kim, s."	-1.0993	-0.2636	6	10	19	2	6	0.3569	2014.5	3	0.1784
47	"kiyak, g."	1.1006	-0.2587	1	8	12	2	9	0.8789	2014.5	4.5	0.4395
48	"klimstra, ds"	-0.2421	0.6026	2	17	36	6	140	10.7341	2016.3333	23.3333	1.789
49	"kloeppel, g."	-0.1102	0.4786	2	14	31	3	22	1.5856	2016	7.3333	0.5285
50	"knight, j"	-0.2664	-0.1078	5	34	243	19	90	13.3017	2014.8421	4.7368	0.7001
51	"kong, s. y."	-0.2083	-0.4508	7	21	88	8	127	10.1093	2013.625	15.875	1.2637
52	"kooby, da"	-0.4702	-0.4335	4	31	304	25	159	18.5385	2013.68	6.36	0.7415
53	"kosemehmetoglu, k."	0.8617	-0.3037	1	6	7	2	2	0.1953	2015	1	0.0977
54	"krasinskas, a"	-0.3965	-0.1499	4	48	473	43	286	29.3091	2014.6977	6.6512	0.6816
55	"kulac, ı."	1.0901	0.0805	1	5	10	3	12	4.8	2013.6667	4	1.6
56	"landry, j. c."	-1.0945	-0.3387	6	10	19	2	6	0.3569	2014.5	3	0.1784
57	"maithel, s."	-0.7563	-0.3446	6	37	303	25	163	17.9723	2014.04	6.52	0.7189
58	"marali, s."	1.3582	-0.2379	1	6	16	3	0	0	2014	0	0
59	"matthaei, h."	-0.6735	0.3446	3	15	15	1	0	0	2014	0	0
60	"moreno, c."	-0.6868	0.4573	3	20	28	2	0	0	2014.5	0	0
61	"morrison, c"	0.8996	0.339	1	7	13	2	118	11.5234	2014	59	5.7617
62	"newman, scott"	-0.8855	0.3146	3	7	7	1	22	4.3564	2016	22	4.3564
63	"offerhaus, gja"	-0.2041	0.3793	2	12	24	2	22	1.5856	2015.5	11	0.7928
64	"ohike, n"	-0.536	-0.145	4	41	322	28	212	20.3655	2014.0714	7.5714	0.7273
65	"oliva, ı."	-0.5124	-0.2707	7	20	35	3	88	10.2514	2014	29.3333	3.4171
66	"ozcan, muhammed fuat"	0.8123	-0.1869	1	3	4	2	44	8	2013	22	4
67	"quigley, b."	-0.7562	0.0414	3	33	143	13	34	4.4059	2015.6154	2.6154	0.3389
68	"reid, m."	-0.337	0.0415	2	52	314	32	293	32.7485	2015.875	9.1562	1.0234
69	"roa, j. c."	-0.6214	0.2016	3	26	102	10	58	4.3108	2014.3	5.8	0.4311
70	"robinson, brian"	-0.2953	0.2553	5	25	68	6	15	2.9703	2016	2.5	0.495
71	"rossi, m."	-0.7753	0.3039	3	24	35	3	22	4.3564	2015	7.3333	1.4521
72	"russell, maria"	-0.001	0.1147	5	14	42	3	15	2.9703	2016	5	0.9901
73	"saka, b."	-0.6005	-0.0531	7	47	386	34	276	27.1084	2014.5882	8.1176	0.7973
74	"sarmiento, j"	-0.4031	-0.3045	4	33	341	29	157	17.6154	2014.4138	5.4138	0.6074
75	"scarpa, a"	0.8344	0.3214	1	7	7	1	36	3.5156	2014	36	3.5156
76	"schlitter, a. m."	-0.1191	0.3513	2	12	24	2	22	1.5856	2015.5	11	0.7928
77	"shaib, w."	-0.164	-0.0367	5	27	71	5	18	4.1703	2015.8	3.6	0.8341
78	"shapiro, c. l."	0.9461	0.2398	1	9	27	5	143	13.3815	2013.2	28.6	2.6763
79	"sica, gabriel"	-0.9156	0.2357	3	11	13	2	22	4.3564	2016.5	11	2.1782
80	"soylemezoglu, f"	0.6186	-0.0862	1	3	7	4	21	3.2415	2012	5.25	0.8104
81	"staley, charles"	-0.0436	-0.1106	5	26	66	5	92	9.2532	2014.8	18.4	1.8506
82	"staley, christopher"	0.0205	0.0021	5	14	42	3	15	2.9703	2016	5	0.9901
83	"sungu, n."	1.284	-0.193	1	7	23	5	1	6	2015	0.2	1.2
84	"tajiri, t."	-0.6414	-0.2396	4	37	284	25	212	20.3655	2014.04	8.48	0.8146
85	"terry, p."	-0.5673	0.3169	3	23	51	5	0	0	2014.2	0	0
86	"tezel, gg"	0.8538	-0.0485	1	13	42	9	4	0.9953	2013	0.4444	0.1106
87	"tuzun, d."	1.0747	-0.1685	1	8	14	2	10	1.0769	2015	5	0.5385
88	"usubutun, alp"	1.1135	0.3268	1	2	3	2	21	5.6154	2008.5	10.5	2.8077
89	"varan, a."	0.6658	-0.0854	1	3	5	2	13	2.3636	2011.5	6.5	1.1818
90	"winer, joshua"	-0.0848	0.0463	5	14	42	3	15	2.9703	2016	5	0.9901
91	"xu, j."	-0.6036	0.4205	3	20	28	2	0	0	2014.5	0	0
92	"yalcin, b."	0.7691	0.0596	1	5	25	5	2	0.8	2013.8	0.4	0.16
93	"yazgan, a."	1.0158	-0.2085	1	10	38	7	51	8.5801	2014.2857	7.2857	1.2257
94	"yusifli, zerife"	0.0674	-0.3051	8	5	10	2	0	0	2016	0	0
95	"zamboni, g"	-0.1172	0.6024	2	9	13	2	3	1.2	2017	1.5	0.6
96	"ıacobuzio-donahue, c"	-0.3125	0.6935	2	5	5	1	10	1.9802	2016	10	1.9802
97	"ırkkan, c."	0.9144	0.123	1	17	67	13	146	14.3796	2013.6154	11.2308	1.1061
